District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,SitRep,Date,Date_Entered,Collector
NA,Madudu,17,07,NA,13,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Eastern,07,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Southern,07,03,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Bageza,02,01,NA,01,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Western,02,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kasambya,05,00,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kibalinga,01,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kiruuma,08,03,NA,05,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kitenga,01,00,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Butologo,01,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kiyuni,03,03,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kyegegwa,Kasule,03,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kassanda,01,01,NA,01,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kiganda,01,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
NA,Kalwana,04,00,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kagadi,Kagadi TC,01,01,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Bunyangabu,Rwimi TC,01,00,NA,00,29,2022-10-19,2022-10-27 11:11:39,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
