District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probable Cases,SitRep,Date,Date_Entered,Collector
Mubende,Madudu,20,7,NA,13,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Eastern,7,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Southern,7,3,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Bayeza,2,2,NA,1,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Western,2,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kasambya,3,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kibalinga,1,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kiruuma,8,3,NA,5,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kitenga,1,0,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Butologo,1,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Mubende,Kiyuni,3,3,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kyegegwa,Kasule,3,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kassanda,1,1,NA,1,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kiganda,1,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kassanda,Kalwana,4,0,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Kagadi,Kagadi TC,1,1,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
Bunyangabu,Rwimi TC,1,0,NA,0,NA,30,2022-10-20,2022-10-27 11:40:49,Automated Script - https://github.com/Emergent-Epidemics/Ebola_SitReps_Uganda_2022
