District,Sub-County,Confirmed Cases,Confirmed Deaths,Recoveries,Probable Deaths,Probable Cases,SitRep,Date,Date_Entered,Collector,DISTRICT,COUNTY,SUBCOUNTY
Mubende,Madudu,16,7,NA,13,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,BUWEKULA,MADUDU
Mubende,Eastern,7,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,EASTERN DIVISION
Mubende,Southern,6,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,SOUTHERN DIVISION
Mubende,Bayeza,1,1,NA,1,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,KASAMBYA,BAGEZZA
Mubende,Western,2,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,MUBENDE MUNICIPALITY,WESTERN DIVISION
Mubende,Kasambya,3,0,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,KASAMBYA,KASAMBYA
Mubende,Kibalinga,1,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,KASAMBYA,KIBALINGA
Mubende,Kiruuma,6,3,NA,5,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,NA,KIRUUMA
Mubende,Kitenga,1,0,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,BUWEKULA,KITENGA
Mubende,Kiyuni,3,2,NA,0,NA,22,2022-10-11,2022-10-27,SVS,MUBENDE,BUWEKULA,KIYUNI
Kyegegwa,Kasule,3,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,KYEGEGWA,KYAKA,KASULE
Kassanda,Kassanda,2,0,NA,1,NA,22,2022-10-11,2022-10-27,SVS,KASSANDA,KASSANDA,KASSANDA
Kassanda,Kalwana,1,0,NA,0,NA,22,2022-10-11,2022-10-27,SVS,KASSANDA,KASSANDA,KALWANA
Kagadi,Kagadi TC,1,1,NA,0,NA,22,2022-10-11,2022-10-27,SVS,KAGADI,BUYAGA,KAGADI
Bunyangabu,Rwimi TC,1,0,NA,0,NA,22,2022-10-11,2022-10-27,SVS,BUNYANGABU,BUNYANGABU,RWIMI
